havenot2	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips
0	0.4531250298023224	0.4195125699043274	0.1358231157064438	0.7324298024177551	0.2467532455921173	0.007919480092823505	0.6666666865348816	34	0	0	0	0	0.25	0.5	0.4000000059604645	5069
0	0.5390624403953552	0	0.07605095207691193	0.75635826587677	0.2857142686843872	0.000977034098468721	0.3333333432674408	22	0	0	1	0	0.25	0	0.800000011920929	5077
0	0.4062500298023224	0.375	0.11530901491641998	0	0.58441561460495	0.001599146518856287	0.3333333432674408	39	1	1	1	0	1	1	1	5089
0	0.4882812798023224	0.625	0.08435867726802826	0.5513187050819397	0.45454543828964233	0.0025742333382368088	0.8333333134651184	65	1	1	1	0	1	0.75	0.800000011920929	5103
1	0.3671874403953552	0.375	0.17755720019340515	0.0431906133890152	0.6493505835533142	0.006075998302549124	0.6666666865348816	30	1	1	0	0	0.75	0.75	0.800000011920929	5115
1	0.5507813096046448	0.375	0.23489677906036377	0.4747248888015747	0.37662336230278015	0.03852422907948494	0.6666666865348816	52	1	0	0	0	0	0.5	1	5119
0	0.16015617549419403	0.625	0.3041929602622986	0.05779368057847023	0.6233766078948975	0.01037841197103262	0.3333333432674408	63	0	1	1	0	0.75	0.25	0.800000011920929	5125
0	0.4687500596046448	0.125	0.173658549785614	0.08357598632574081	0.6103895902633667	0.012572511099278927	0.1666666716337204	79	1	1	1	0	0	0.5	0.800000011920929	5131
1	0.41015625	0.586670994758606	0.20429395139217377	0.043084871023893356	0.5324675440788269	0.020089616999030113	0.6666666865348816	79	1	1	1	0	0.5	0.5	0	5143
	0.41015625	0.625	0.20429395139217377	0.043084871023893356	0.5324675440788269	0.020089616999030113	0.8333333134651184	39	0	1	0	0	0	0.5	0.6000000238418579	5143
1	0.4375	0.875	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	1	39	1	0	0	1	0.75	0.75	0	6001
0	0.4375	0.125	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	0.8333333134651184	93	0	1	1	0	0.25	0.75	0.4000000059604645	6001
0	0.4375	0.875	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	0.3333333432674408	39	1	1	0	0	0	0.25	0	6001
0	0.4375	0.75	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	1	26	0	0	0	1	0.25	0.25	0.4000000059604645	6001
1	0.4375	1	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	0.3333333432674408	40	0	0	0	0	0.25	0.5	0	6001
	0.4375	0.5235679745674133	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	0.6666666865348816	51	0	0	0	0	0.5	0.5	0.800000011920929	6001
0	0.4375	1	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	1	45	1	0	0	1	1	0.25	0.6000000238418579	6001
0	0.4375	1	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	1	55	1	1	0	0	0	0	0.20000000298023224	6001
0	0.4375	0.75	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	0.6666666865348816	68	0	1	1	0	0.25	0.25	0	6001
	0.4375	0.625	0.49838733673095703	0.17296336591243744	0.10389610379934311	0.15135717391967773	0.6666666865348816	63	0	0	0	1	0	0.25	0.800000011920929	6001
0	0.4335937798023224	0.5	0.43424955010414124	0	0.37662336230278015	0	1	73	0	1	0	0	0.25	0.5	0.4000000059604645	6003
1	0.4414063096046448	0.25	0.21370936930179596	0.02018825151026249	0.5064935088157654	0.02228730358183384	0.3333333432674408	67	0	1	1	0	1	0.75	0.800000011920929	6007
0	0.4414063096046448	0.75	0.21370936930179596	0.02018825151026249	0.5064935088157654	0.02228730358183384	0.6666666865348816	52	1	1	0	0	0.75	0.75	0.20000000298023224	6007
0	0.4375	0.875	0.5961360931396484	0.12414074689149857	0.27272728085517883	0.10491181910037994	0.6666666865348816	51	1	1	0	0	0.75	0.75	0.4000000059604645	6013
1	0.4375	0.5	0.5961360931396484	0.12414074689149857	0.27272728085517883	0.10491181910037994	0.3333333432674408	39	1	0	0	0	0.25	0.75	0.800000011920929	6013
1	0.4375	0.25	0.5961360931396484	0.12414074689149857	0.27272728085517883	0.10491181910037994	0.6666666865348816	33	1	1	0	0	0.25	0.5	0	6013
1	0.3164062798023224	0.25	0.5050769448280334	0.008727417327463627	0.5974025726318359	0.018230557441711426	0.6666666865348816	55	0	1	1	0	1	0.5	0.4000000059604645	6017
1	0.3164062798023224	0	0.5050769448280334	0.008727417327463627	0.5974025726318359	0.018230557441711426	0.3333333432674408	18	0	1	0	0	0.25	0	0	6017
0	0.4453125	0.75	0.24911221861839294	0.06893409788608551	0.5454545021057129	0.09302517026662827	0.3333333432674408	29	0	0	0	0	1	1	1	6019
1	0.4453125	0.125	0.24911221861839294	0.06893409788608551	0.5454545021057129	0.09302517026662827	0.3333333432674408	39	0	1	0	0	0.5	0.75	0	6019
0	0.4453125	0.875	0.24911221861839294	0.06893409788608551	0.5454545021057129	0.09302517026662827	0.8333333134651184	55	0	0	0	0	0	0	0	6019
0	0.5390624403953552	0.3538033366203308	0.18025042116641998	0.015216052532196045	0.31168827414512634	0.013516543433070183	0.1666666716337204	50	1	0	0	0	0.5	0.5	0.6000000238418579	6023
	0.5390624403953552	0.5	0.18025042116641998	0.015216052532196045	0.31168827414512634	0.013516543433070183	0.6666666865348816	25	1	1	0	1	0.75	0.75	0	6023
1	0.4335937798023224	0.75	0.25626879930496216	0.0760807991027832	0.6623376607894897	0.08347958326339722	0.3333333432674408	61	0	0	1	0	0.25	0.5	1	6029
0	0.4335937798023224	0.875	0.25626879930496216	0.0760807991027832	0.6623376607894897	0.08347958326339722	0.6666666865348816	54	1	1	0	1	1	1	0.20000000298023224	6029
0	0.4335937798023224	0.625	0.25626879930496216	0.0760807991027832	0.6623376607894897	0.08347958326339722	0.8333333134651184	71	1	1	1	0	0.5	0.75	0.20000000298023224	6029
0	0.4335937798023224	0.625	0.25626879930496216	0.0760807991027832	0.6623376607894897	0.08347958326339722	0.3333333432674408	34	0	1	0	0	0.5	0.5	1	6029
0	0.3437500298023224	0.625	0.17375628650188446	0.029344147071242332	0.3896103501319885	0.00647683534771204	0.8333333134651184	37	1	1	0	0	0.75	0.5	0.6000000238418579	6033
0	0.25390625	0.75	0.2913241386413574	0.11679290235042572	0.7272726893424988	0.003474912606179714	0.8333333134651184	60	1	0	0	1	0.75	0.75	0.6000000238418579	6035
1	0.58203125	0.375	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	53	1	0	0	0	0.25	0.75	0.4000000059604645	6037
	0.58203125	0.375	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	28	1	0	0	0	0.75	0.75	0.6000000238418579	6037
0	0.58203125	1	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	29	0	0	0	0	0.25	0.5	0.4000000059604645	6037
1	0.58203125	0.6030154824256897	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	57	0	1	1	0	0	0.5	0.20000000298023224	6037
0	0.58203125	0.625	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	34	1	0	0	0	0.25	0.75	0.20000000298023224	6037
0	0.58203125	1	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	1	65	1	1	0	0	0	0.5	0.4000000059604645	6037
0	0.58203125	0.625	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	59	0	1	0	1	0.25	0.5	0.4000000059604645	6037
0	0.58203125	0.375	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	39	1	0	0	0	0.25	0.5	0.20000000298023224	6037
0	0.58203125	0.25	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	68	1	1	0	0	1	0.5	0.4000000059604645	6037
0	0.58203125	0.25	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	69	0	0	1	0	0	0.5	1	6037
1	0.58203125	0.75	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	48	0	0	0	0	0.25	0.5	0.800000011920929	6037
1	0.58203125	0.125	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	78	1	1	1	0	0.25	0.5	1	6037
1	0.58203125	0.125	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	44	0	0	1	0	0.25	1	1	6037
0	0.58203125	0.625	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	32	1	0	0	0	0.75	0.75	0.800000011920929	6037
1	0.58203125	0.43142586946487427	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	19	1	0	0	0	0.25	0	0	6037
1	0.58203125	0.75	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	63	0	1	0	0	0	0.5	0.800000011920929	6037
1	0.58203125	0.625	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	1	42	0	1	0	0	0.75	0.5	0	6037
1	0.58203125	0.43142586946487427	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	50	1	1	0	0	0	0.5	0.20000000298023224	6037
0	0.58203125	0.75	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	1	46	0	1	0	0	0.75	0.75	0.800000011920929	6037
0	0.58203125	0.125	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	48	1	0	0	0	0.25	0.5	0	6037
0	0.58203125	0.875	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	45	0	1	0	1	0	0.75	0.20000000298023224	6037
1	0.58203125	0.5	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	52	0	0	1	1	0.25	0.5	0.4000000059604645	6037
0	0.58203125	0.875	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	45	1	1	0	0	0.75	0.5	0	6037
0	0.58203125	1	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.8333333134651184	45	1	1	0	0	1	0.75	0.800000011920929	6037
0	0.58203125	0.375	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	42	0	1	0	0	0.75	0.5	0	6037
0	0.58203125	0.875	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	18	1	1	1	0	0.75	0.5	0.4000000059604645	6037
0	0.58203125	1	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	34	0	1	1	0	0.25	0.25	0.6000000238418579	6037
0	0.58203125	0.5	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	26	0	1	0	0	0.25	0.25	0.6000000238418579	6037
0	0.58203125	0.5	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	24	1	0	0	0	0.75	0.25	0.20000000298023224	6037
0	0.58203125	0	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.3333333432674408	18	1	0	0	0	0.25	0.25	0.6000000238418579	6037
0	0.58203125	0.625	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	32	0	1	0	0	0.75	0.75	0.6000000238418579	6037
1	0.58203125	0.125	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	50	0	0	0	1	0.25	0.5	0.6000000238418579	6037
0	0.58203125	0.75	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.6666666865348816	52	1	1	0	0	0.75	0.75	0.20000000298023224	6037
0	0.58203125	0.875	0.3473496735095978	0.11979185789823532	0.27272728085517883	1	0.1666666716337204	18	1	1	0	0	0.25	0.25	0	6037
0	0.5937499403953552	0.75	0.7143229246139526	0.04118890315294266	0.12987011671066284	0.02535850927233696	1	53	0	1	0	0	0.25	0.25	0.4000000059604645	6041
	0.41796875	0	0.22102884948253632	0.05348021537065506	0.5454545021057129	0.02557353302836418	0.1666666716337204	21	0	1	0	0	0.75	0.5	0.4000000059604645	6047
1	0.41796875	0	0.22102884948253632	0.05348021537065506	0.5454545021057129	0.02557353302836418	0.6666666865348816	42	0	1	0	0	0.75	0.25	0.20000000298023224	6047
0	0.41796875	0.44412046670913696	0.22102884948253632	0.05348021537065506	0.5454545021057129	0.02557353302836418	0.5	40	0	1	0	1	1	0.75	0.800000011920929	6047
0	0.3867188096046448	1	0.38856250047683716	0.04404301196336746	0.29870128631591797	0.0416373535990715	1	54	1	1	0	0	0.75	0.5	0	6053
