GEOID,B02001_003E,B02001_001E,SUMLEVEL,ST,COUNTY,B19080_001E,B19080_002E,B19080_003E,B19080_004E,B19080_005E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B19013_001E,B01003_001E,COMPONENT,B19083_001E
05000US02230,20,1071,050,02,230,46471,66449,83543,111237,217632,32417,57249,71669,91561,185813,276824,71295,1071,00,0.334
05000US02240,180,6760,050,02,240,30448,51299,69502,95946,167670,19234,39195,60119,81855,146349,200726,59407,6760,00,0.363
05000US02261,40,9529,050,02,261,27778,44241,69583,107121,157625,16756,36689,56725,86996,151289,214932,55952,9529,00,0.39
05000US02270,0,7577,050,02,270,17405,28750,46570,71244,117311,10480,22950,37127,58849,104262,153691,36712,7577,00,0.407
05000US02275,30,2168,050,02,275,22591,42365,57881,91462,198356,13442,31326,50359,69761,166901,296349,49508,2168,00,0.453
05000US02282,0,418,050,02,282,29210,46343,83977,111531,206590,19853,37227,66188,98822,170551,247780,66250,418,00,0.393
05000US02290,0,5813,050,02,290,13639,24629,44918,73006,122982,7654,18634,33897,58351,110925,158358,33716,5813,00,0.455
05000US04001,195,69341,050,04,001,8756,19934,36136,64341,106508,3937,14195,28027,47745,100053,154896,28378,69341,00,0.496
05000US04003,5372,127613,050,04,003,18702,34452,53913,86381,146450,10240,26530,43669,68923,138161,223559,43304,127613,00,0.445
05000US04005,1497,127312,050,04,005,20846,38500,58940,93953,153215,10712,29464,48315,74506,149640,249534,48259,127312,00,0.445
05000US04007,119,51850,050,04,007,16551,29472,44852,69284,115407,8798,23385,37059,55215,113004,187262,36930,51850,00,0.436
05000US04009,826,34780,050,04,009,17285,32071,50332,74997,111305,9267,24373,40980,60845,105872,151940,40889,34780,00,0.404
05000US04011,38,7723,050,04,011,20276,38683,55200,78630,104857,10301,30329,46133,65262,116404,195184,45476,7723,00,0.397
05000US04012,210,20055,050,04,012,15695,25397,38755,59837,110535,8742,19958,31677,46710,107669,195846,31640,20055,00,0.454
05000US04013,167261,3855521,050,04,013,25183,44524,68049,104706,187642,14018,34763,55652,84524,180628,320146,55223,3855521,00,0.449
05000US04015,1513,192988,050,04,015,19243,32336,48952,75320,131329,11260,25953,40431,60401,126863,220703,40157,192988,00,0.434
05000US04017,1219,110458,050,04,017,15464,29935,47415,74269,120934,8230,22830,38113,59711,111637,169337,38197,110458,00,0.433
05000US04019,33194,990213,050,04,019,20128,36278,56799,89896,159589,11188,28184,46146,71875,151107,257262,45885,990213,00,0.452
05000US04021,10339,296113,050,04,021,22556,40644,59783,85744,138501,12748,31612,49661,71572,131051,206270,49301,296113,00,0.4
05000US04023,100,42550,050,04,023,18066,30373,48000,74721,140303,10426,23746,38139,60808,128096,223218,37204,42550,00,0.452
05000US04025,1380,209365,050,04,025,20758,36046,53829,82607,149474,11722,28411,44296,66793,146536,266143,43965,209365,00,0.45
05000US04027,4019,188983,050,04,027,18135,31413,47485,73366,127029,10393,24479,38920,59000,118815,193827,38854,188983,00,0.43
05000US05001,4718,19385,050,05,001,14746,28962,46758,70261,114563,8252,21377,37058,57369,119676,210837,36341,19385,00,0.46
05000US05003,5895,22337,050,05,003,14532,25069,42557,69038,124506,8247,19356,33308,54496,111789,173686,33007,22337,00,0.456
